column,n_missing,pct_missing,flag_high_missing
cycact,19581,95.71,True
cyccond,19581,95.71,True
cyclistype,19575,95.68,True
fatal_no,19375,94.71,True
pedtype,16921,82.71,True
pedact,16919,82.7,True
pedcond,16908,82.65,True
stname3,15797,77.22,True
drivact,9971,48.74,True
drivcond,9929,48.53,True
injury,9585,46.85,True
vehtype,8755,42.79,True
manoeuvre,8525,41.67,True
initdir,5749,28.1,True
accloc,5456,26.67,True
invage,2624,12.83,False
stname2,1758,8.59,False
safequip,1406,6.87,False
road_class,657,3.21,False
veh_no,496,2.42,False
traffictl,197,0.96,False
neighbourhood,153,0.75,False
wardname,124,0.61,False
division,68,0.33,False
rdsfcond,44,0.22,False
visible,34,0.17,False
impactype,29,0.14,False
light,14,0.07,False
geometry,3,0.01,False
latitude,3,0.01,False
longitude,3,0.01,False
collision_id,0,0.0,False
cyclist,0,0.0,False
heavy_truck,0,0.0,False
school_child,0,0.0,False
red_light,0,0.0,False
pedestrian,0,0.0,False
older_adult,0,0.0,False
other_micromobility,0,0.0,False
motorcyclist,0,0.0,False
aggressive,0,0.0,False
distracted,0,0.0,False
per_no,1,0.0,False
accdate,0,0.0,False
stname1,0,0.0,False
per_inv,0,0.0,False
acclass,1,0.0,False
road_user,0,0.0,False
failtorem,0,0.0,False
_id,0,0.0,False
